字段1,字段1链接,字段2,字段3,字段5,字段6,字段4
中国煤炭工业协会：上半年煤炭供应大幅增加 存煤维持高位,https://tv.cctv.com/2023/08/01/VIDESDIZufT4VZN8ymMMuLYS230801.shtml,2023-08-02,,,,
2023年6月煤炭市场运行情况图解,https://www.cctd.com.cn/index.php?m=content&c=index&a=show&catid=652&id=235269,2023-08-02,,2023年6月煤炭市场运行情况图解,"来源：中国煤炭市场网
					
					发布时间：2023-08-02 10:12:58
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻",
6月浙江省湖州市煤炭价格环比下降,https://www.cctd.com.cn/show-361-235268-1.html,2023-08-02,,6月浙江省湖州市煤炭价格环比下降,"来源：湖州市商务局
					
					发布时间：2023-08-02 09:50:26
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻",根据商务部生产资料市场监测系统监测，2023年6月，湖州市受监测样本企业煤炭平均价格为770元/吨，环比下降12%。其中，烟煤价格770元/吨，动力煤发热量5000-5500大卡价格770元/吨，环比下降12%。本月煤炭价格总体下降，预计短期内煤炭市场价格趋于低位态势。
7月第三周山西省煤炭价格小幅上涨,https://www.cctd.com.cn/show-361-235266-1.html,2023-08-02,,7月第三周山西省煤炭价格小幅上涨,"来源：山西省商务厅
					
					发布时间：2023-08-02 09:48:47
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻",据山西省商务厅生产资料市场监测数据显示，本周（7月17日-23日），山西省煤炭均价1150.92元/吨，环比上涨1.6%。其中，炼焦煤1/3焦煤均价1570元/吨，环比上涨3.3%；动力煤发热量5000-5500大卡均价687.17元/吨，环比上涨0.7%；无烟煤2号均价1195.6元/吨，环比上涨0.1%。省内炼焦用精煤市场运行良好价格上调，主要煤企主焦煤及配煤品种长协价格上调5-90元/吨不等，长治地区主要煤企贫瘦煤价格上调30-60元/吨。省内动力煤企销售较为顺畅，价格稳中有涨，朔州地区部分煤企价格上调5-10元/吨，忻州地区个别品种价格上调25元/吨。省内无烟煤企业销售顺畅，大型煤企块煤价格暂稳，晋城地区个别地方煤企块煤价格上调20-30元/吨。预计短期内煤炭价格仍将震荡上行。
7月第三周云南省煤炭价格环比小幅上涨,https://www.cctd.com.cn/show-361-235264-1.html,2023-08-02,,7月第三周云南省煤炭价格环比小幅上涨,"来源：云南省商务厅
					
					发布时间：2023-08-02 09:46:07
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻",据商务部重要生产资料市场监测系统显示，本周（2023年7月17日—23日），云南省煤炭均价为1236.7元/吨，环比上涨1.2%。其中，动力煤均价840.2元/吨，环比上涨2.7%；炼焦煤均价1870元/吨，环比上涨1.1%；无烟煤均价1000元/吨，环比持平。下游企业补库需求释放，动力煤、炼焦煤价格上涨带动煤炭整体价格环比上涨。预计后期，煤炭市场供需平稳，价格或将平稳运行。
山西焦煤成功发行山西省和煤炭行业首单科技创新可交换公司债券,https://www.cctd.com.cn/show-22-235263-1.html,2023-08-02,,山西焦煤成功发行山西省和煤炭行业首单科技创新可交换公司债券,"来源：山西焦煤
					
					发布时间：2023-08-02 09:40:47
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","7月27日，山西焦煤2023年面向专业投资者非公开发行科技创新可交换公司债券（第一期）在深圳证券交易所成功发行，发行规模25亿元，债券期限3年。本次债券为山西省首单科技创新可交换债券，也是煤炭行业首单科技创新可交换债券，具有科技创新属性。
　　据了解，本次债券发行线上路演阶段吸引了106家机构投资者参与了解山西焦煤及上市公司近年来的发展成就，取得了良好的路演效果，得到了市场投资者的高度认可。簿记当日，投资人认购踊跃，全场获配机构共计83家，最终录得票面利率为0.01%，初始换股价格较当日收盘价溢价率近20%，综合融资成本仅1.49%，实现了存量资产的盘活和极低成本的融资。
　　2023年以来，在省委、省政府坚强领导下，山西焦煤全面贯彻落实党的二十大精神，聚焦“发展第一要务”，锚定“高质量发展”主题，紧紧围绕“加速建设世界一流炼焦煤企业”奋斗目标，在资本赋能上不断巩固资本运营中心的定位，深度转换经营机制，为企业发展注入了金融活力。本次债券的成功发行，充分体现了山西焦煤在创新融资方式和资本运作方面的新作为，特别是展示了山西焦煤在科技创新领域取得的新成就，如智能化开采、创新应用“110”工法实施煤炭精采细采等核心技术的发明专利合计达30项以上。这不仅彰显了企业的核心竞争力，为山西焦煤树立了积极正面的资本市场形象，也展现了资本市场对山西焦煤的高度认可。"
1人死亡 山西省阳泉固庄煤业有限责任公司发生安全事故被责令停产整顿,https://www.cctd.com.cn/show-108-235262-1.html,2023-08-02,,1人死亡 山西省阳泉固庄煤业有限责任公司发生安全事故被责令停产整顿,"来源：山西省应急管理厅
					
					发布时间：2023-08-02 09:37:07
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","山西省应急管理厅官网7月31日发布通知，责令山西省阳泉固庄煤业有限责任公司停产整顿。
　　通知显示，2023年7月28日，山西省阳泉固庄煤业有限责任公司发生一起死亡1人的安全事故，责令山西省阳泉固庄煤业有限责任公司，从即日起停止生产按规定进行整顿，并派驻2名以上人员现场盯守，负责监督该矿进行整顿，整顿期间严禁其从事井下采掘作业。
　　同时撤销山西省阳泉固庄煤业有限责任公司二级标准化等级。
　　事故整顿恢复工作，按照“四不放过”原则和《山西省煤矿生产安全事故整顿恢复机制实施办法》（晋政办发〔2022〕99号）实施。"
中国煤炭工业协会：上半年煤炭供应大幅增加 存煤维持高位,https://www.cctd.com.cn/show-176-235258-1.html,2023-08-02,,中国煤炭工业协会：上半年煤炭供应大幅增加 存煤维持高位,"来源：央视新闻
					
					发布时间：2023-08-02 09:24:15
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","中国煤炭工业协会公布的最新数据显示，上半年我国煤炭产能继续释放，煤炭供应能力稳步提升，目前全社会存煤维持高位。
　　上半年煤炭供应大幅增加 存煤维持高位
　　6月末，全国煤炭企业存煤6900万吨，同比增长11.4%，全国火电厂存煤约2.0亿吨，同比增加约2800万吨，存煤可用约30天，达到历史最高水平。全国主要港口存煤7502万吨，同比增长17.8%。

　　中国煤炭工业协会新闻发言人 张宏：全社会煤炭库存保持高位，为应对短期气候因素、区域性水电、新能源出力情况变化，奠定了较好的基础。

　　专家表示，半年来我国工业企业生产经营相对稳健，季节性煤炭消费旺盛。

　　上半年，全国火电发电量同比增长7.5%，其中6月份当月，发电量同比增长14.2%；全国粗钢产量同比增长1.3%，水泥产量同比增长1.3%，煤化工产品产量继续保持适度增长。
　　上半年我国主要产煤区煤炭产能继续释放
　　上半年，在煤炭保供政策的推动下，我国主要产煤区的优质煤炭产能继续释放。
　　在内蒙古鄂尔多斯国内最大的露天煤矿生产现场，平均每天可采煤8.5万吨。

　　国家能源集团准能黑岱沟露天煤矿矿长 钮景付：7月10日，黑岱沟露天煤矿单日完成商品煤12.5万吨，创近十年单日最高纪录。
　　此外，陕西在确保安全生产前提下，稳妥有序向全国各地供应煤炭。其中，大海则煤矿是国内产能最大的立井煤矿，单矿每年可为国家新增煤炭产能2000万吨。

　　中煤集团陕西公司大海则煤矿智采中心主任 王志尧：一刀煤可产出2200吨煤，6月份创下日产6.9万吨的新纪录，目前2个工作面加大马力、全速生产。

　　上半年，在煤炭保供政策推动下，原煤产量完成23亿吨，同比增加约9700万吨、增长4.4%；煤炭进口2.22亿吨，同比增加1.07亿吨、增长93.0%。
　　中国煤炭工业协会新闻发言人 张宏：上半年，山西、陕西、内蒙古、新疆四省区产量占全国煤炭总产量的81%左右、产量增量占到全国总增量的87%左右；为全国迎峰度夏能源保供作出了突出贡献。"
福建省印发《福建省工业领域碳达峰实施方案》,https://www.cctd.com.cn/index.php?m=content&c=index&a=show&catid=711&id=235257,2023-08-02,,福建省印发《福建省工业领域碳达峰实施方案》,"来源：福建省工业和信息化厅
					
					发布时间：2023-08-02 09:22:29
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","近日，《福建省工业领域碳达峰实施方案》印发。《方案》通过深度优化产业结构、深入推进节能降碳、全面推行绿色制造、大力发展循环经济、加快绿色低碳技术创新和推动工业领域数字化转型六个方面重点任务以及重点行业碳达峰行动、工业节能与能效提升行动和绿色低碳产品供给提升行动等三个重大行动，推进全省工业实现碳达峰目标。
在重点行业碳达峰行动中的钢铁行业方面，《方案》提到，深化钢铁行业供给侧结构性改革，严格执行产能置换政策，严格控制钢铁产能增长，推进存量优化和行业整合重组，淘汰落后产能和工艺装备。
逐步建立产量约束机制，引导企业合理生产。突出绿色化、集群化发展，延伸发展高性能装备零部件合金钢、冷轧硅钢板和双相、含氮等高端不锈钢。
强化产业协同，构建清洁能源与钢铁产业共同体。大力推进非高炉炼铁先进技术应用，重点推广铁水一罐到底、近终形连铸连扎等先进节能工艺流程，推行全废钢电炉工艺，提升废钢资源回收利用水平。
加快推进行业智能制造及两化融合，鼓励钢化联产，探索开展氢冶金、二氧化碳捕集利用一体化等试点项目。
保持不锈钢产业发展优势，重点发展复合材等精深加工成品及成套设备、家居等不锈钢应用产品。
到2025年，短流程炼钢占比达15%以上。到2030年，富氢碳循环高炉冶炼、氢基竖炉直接还原炼铁、碳捕集利用封存等技术取得突破应用，短流程炼钢占比达20%以上。
 
原文：福建省工业和信息化厅 福建省发展和改革委员会 福建省生态环境厅关于印发福建省工业领域碳达峰实施方案的通知"
陕西省煤矿安全高质量发展现场会召开,https://www.cctd.com.cn/show-108-235256-1.html,2023-08-02,,陕西省煤矿安全高质量发展现场会召开,"来源：陕西省应急管理厅
					
					发布时间：2023-08-02 09:19:41
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","7月26日至27日，陕西省煤矿安全高质量发展现场会在榆林市曹家滩矿业公司召开。
　　会议指出，近年来，全省各市县各有关部门和煤矿企业深入学习贯彻习近平总书记重要指示精神，全面落实党中央、国务院决策部署和省委、省政府工作要求，坚持人民至上、生命至上，有效防范化解重大安全风险，煤矿安全生产形势总体平稳，在安全发展理念、制度体系建设、重大灾害治理、产业结构优化、安全基础建设等方面取得阶段性成绩。
　　会议强调，要从思想认识、安全基础、监管效能、责任落实等方面深化认识。要直面灾害治理、人员素质、产业结构、监管能力带来的挑战，真正找准制约煤矿安全高质量发展的短板弱项，推动解决深层次矛盾和根本性问题。要抓住安全发展理念、产业发展变革、技术迭代革新、煤炭市场发展带来的机遇，努力开创煤矿安全高质量发展新局面。
　　会议要求，要坚持守正创新，坚决落实煤矿安全高质量发展措施。要把安全创新贯穿始终，筑牢安全基础，创新监管手段，推进事前预防，真正以高水平安全服务高质量发展。要把智慧发展贯穿始终，加快推进智能化建设，加大智能装备推广应用，加快企业大数据平台建设，促进生产系统和管理系统有机融合，以信息化、智能化手段赋能安全发展。要把绿色融合贯穿始终，完善绿色清洁生产机制，推广绿色开采技术，推进煤矿企业绿色转型。会议还对近期安全生产、防汛救灾等工作进行了强调安排，要求动真碰硬排查隐患，切实提高重大隐患排查整治质效；重拳出击打非治违，严防违法违规生产；枕戈待旦防汛减灾，坚决落实重大风险“叫应”机制。"
CCTD直播预告：暴雨过后会见彩虹,https://www.cctd.com.cn/index.php?m=content&c=index&a=show&catid=694&id=235255,2023-08-01,,CCTD直播预告：暴雨过后会见彩虹,"来源：中国煤炭市场网
					
					发布时间：2023-08-01 17:41:16
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","提前【预约】不迷路！
		 
	
	开播后
	【直播入口】

好礼周周抽，煤炭人速速来！
关注CCTD，下次活动秒入！"
全国碳市场每日成交数据20230801,https://www.cctd.com.cn/index.php?m=content&c=index&a=show&catid=713&id=235311,2023-08-01,,全国碳市场每日成交数据20230801,"来源：上海环境能源交易所
					
					发布时间：2023-08-01 16:36:00
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","今日全国碳市场碳排放配额（CEA）挂牌协议交易成交量38,847吨，成交额2,524,575.00元，开盘价65.00元/吨，最高价65.00元/吨，最低价62.60元/吨，收盘价64.99元/吨，收盘价较前一日上涨0.39%。今日大宗协议交易成交量105,713吨，成交额6,554,206.00元。今日全国碳排放配额（CEA）总成交量144,560吨，总成交额9,078,781.00元。
　　截至今日，全国碳市场碳排放配额（CEA）累计成交量240,838,925吨，累计成交额11,086,301,860.51元。"
运力周转效率明显下降 沿海煤炭运价延续弱势,https://www.cctd.com.cn/index.php?m=content&c=index&a=show&catid=576&id=235250,2023-08-01,,,,
全国安全生产电视电话会议强调 精准排查隐患 严格监管执法,https://www.cctd.com.cn/show-108-235249-1.html,2023-08-01,,全国安全生产电视电话会议强调 精准排查隐患 严格监管执法,"来源：新华社
					
					发布时间：2023-08-01 09:54:48
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","全国安全生产电视电话会议7月30日在京召开，国务院副总理、国务院安委会主任张国清出席会议并讲话，国务委员、国务院安委会副主任王小洪主持会议。会议强调，要坚决贯彻习近平总书记重要指示批示精神，落实李强总理要求，深刻汲取近期事故教训，精准排查整治事故风险隐患，扎实做好安全生产各项工作，切实防范遏制重特大事故发生。
　　会议强调，要牢固树立安全发展理念，杜绝“事后发力”思想，坚持眼睛向下、紧盯一线，下沉监管力量，严格监管执法，以事故多发行业领域、高风险点位等为重点，狠抓终端末梢主体责任落实、风险起底排查、隐患治本除根。要严格执行责任倒查机制，推动追责问责向前延伸，确保排查整治全面覆盖、深查真改。要全面开展燃气安全大起底、大整治，针对问题气、问题瓶、问题阀、问题软管、问题管网、问题环境等关键环节，明确责任、直捣病灶，坚决遏制燃气事故多发势头。要重拳出击“打非治违”，对性质恶劣、社会影响大、冲击人民群众安全感的事故以及瞒报谎报事故等提级调查，严查快办。要强化以科技保障安全，加快老旧设施设备安全改造，大力培育安全文化，着力夯实安全基础。
　　此前，国务院安委会召开全体会议，研究部署城镇燃气安全专项整治等工作。"
2023年1-6月份全国电力市场交易简况,https://www.cctd.com.cn/show-19-235248-1.html,2023-08-01,,2023年1-6月份全国电力市场交易简况,"来源：中电联规划发展部
					
					发布时间：2023-08-01 09:52:29
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","1-6月，全国各电力交易中心累计组织完成市场交易电量26501.1亿千瓦时，同比增长6.7%，占全社会用电量比重为61.5%，同比提高0.9个百分点。其中，全国电力市场中长期电力直接交易电量合计为21141.9亿千瓦时，同比增长5.9%。 
　　6月份，全国各电力交易中心组织完成市场交易电量4559.8亿千瓦时，同比增长8.0%。其中，全国电力市场中长期电力直接交易电量合计为3610.7亿千瓦时，同比增长9.2%。
　　一、全国各电力交易中心交易情况
　　1-6月，全国各电力交易中心累计组织完成市场交易电量26501.1亿千瓦时，同比增长6.7%，占全社会用电量比重为61.5%，同比提高0.9个百分点。省内交易电量合计为21317.6亿千瓦时，其中电力直接交易20557.9亿千瓦时（含绿电交易213.4亿千瓦时、电网代理购电4267.7亿千瓦时）、发电权交易698亿千瓦时、其他交易61.6亿千瓦时。省间交易电量合计为5183.6亿千瓦时，其中省间电力直接交易584亿千瓦时、省间外送交易4557.1亿千瓦时、发电权交易42.4亿千瓦时。
　　6月，全国各电力交易中心组织完成市场交易电量4559.8亿千瓦时，同比增长8.0%。省内交易电量合计为3612.5亿千瓦时，其中电力直接交易3495.6千瓦时（含绿电交易39.1亿千瓦时、电网代理购电696.6亿千瓦时）、发电权交易106.8亿千瓦时、其他交易10.1亿千瓦时。省间交易电量合计为947.3亿千瓦时，其中省间电力直接交易115.1亿千瓦时、省间外送交易818.6亿千瓦时、发电权交易13.5亿千瓦时。
　　1-6月，国家电网区域各电力交易中心累计组织完成市场交易电量20898.0亿千瓦时，同比增长7.1%，占该区域全社会用电量的比重为61.3%，其中北京电力交易中心组织完成省间交易电量合计为4860.5亿千瓦时，同比增长10.7%；南方电网区域各电力交易中心累计组织完成市场交易电量4268.2亿千瓦时，同比增长2.2%，占该区域全社会用电量的比重为59.3%，其中广州电力交易中心组织完成省间交易电量合计为323.1亿千瓦时，同比下降19.4%；内蒙古电力交易中心累计组织完成市场交易电量1335亿千瓦时，同比增长17%，占该区域全社会用电量的比重为74.4%。
　　二、全国电力市场中长期电力直接交易情况
　　1-6月，全国电力市场中长期电力直接交易电量合计为21141.9亿千瓦时，同比增长5.9%。其中，省内电力直接交易（含绿电、电网代购）电量合计为20557.9亿千瓦时，省间电力直接交易（外受）电量合计为584亿千瓦时。
　　6月，全国电力市场中长期电力直接交易电量合计为3610.7亿千瓦时，同比增长9.2%。其中，省内电力直接交易（含绿电、电网代购）电量合计为3495.6亿千瓦时，省间电力直接交易（外受）电量合计为115.1亿千瓦时。
　　1-6月，国家电网区域中长期电力直接交易电量合计为16248.7亿千瓦时，同比增长6.2%；南方电网区域中长期电力直接交易电量合计为3759.7亿千瓦时，同比增长3.8%；蒙西电网区域中长期电力直接交易电量合计为1133.6亿千瓦时，同比增长7.3%。"
马军祥任阳煤化工股份有限公司董事长,https://www.cctd.com.cn/show-22-235247-1.html,2023-08-01,,马军祥任阳煤化工股份有限公司董事长,"来源：上海证券交易所、阳泉煤业化工集团
					
					发布时间：2023-08-01 09:48:23
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","近日，山西A股上市公司阳煤化工（股票代码600691）发布《阳煤化工股份有限公司第十一届董事会第一次会议决议公告》，表示阳煤化工股份有限公司第十一届董事会已换届完成，同意选举马军祥为该公司第十一届董事会董事长，同意聘任朱壮瑞为公司总经理，任期至第十一届董事会任期届满。
 
　　马军祥简历
　　马军祥，男，汉族，1980年6月生，河北定州人，2003年7月参加工作，2002年12月加入中国共产党，工学学士，正高级工程师。
　　曾先后任潞安集团煤基合成油公司总调度室副主任，总经理助理；煤基清洁能源公司副总经理，党委书记；潞安集团太行润滑油公司董事长；潞安集团副总经理；潞安化工集团副总经理。
　　现任潞安化工集团党委副书记、副董事长、总经理；山西潞安矿业（集团）有限责任公司董事、董事长；阳煤化工股份有限公司第十届董事会董事、董事长。
 
　　朱壮瑞简历
　　朱壮瑞，男，汉族，1974年3月生，山西临汾人，1993年9月参加工作，2005年6月加入中国共产党，硕士研究生，高级会计师。
　　曾先后任阳泉矿务局五矿热电厂会计，财务科会计；阳煤集团财务部科员；阳煤集团林业处计财部部长助理，部长；阳煤集团财务部资产管理科科长；阳煤集团基建部副部长；阳煤股份公司运输部总会计师；阳煤集团财务部副部长；内蒙古锡盟项目领导组办公室副主任，党组成员；山东阳煤恒通化工股份有限公司财务总监；山西阳煤化工投资有限责任公司总经理；公司第九届、第十届董事会董事、总经理。
 
 
 
现任阳煤化工股份有限公司第十一届董事会董事。"
7月第三周湖南省煤炭市场价格小幅上涨,https://www.cctd.com.cn/show-361-235245-1.html,2023-08-01,,7月第三周湖南省煤炭市场价格小幅上涨,"来源：湖南省商务厅
					
					发布时间：2023-08-01 09:43:24
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","据湖南省商务厅对全省生产资料流通市场监测数据显示，2023年第30周（7月17日-23日），湖南省煤炭销售均价1081.08元/吨，上涨0.4%，同比下跌12.2%。分品种看，无烟煤销售均价1397.5元/吨，上涨0.8%，同比下跌16.1%；烟煤销售均价922.88元/吨，上涨0.1%，同比下跌9.1%。
　　湖南省煤炭市场价格连续两周上涨，累计涨幅0.5%。本周煤炭价格上涨的主要原因是煤炭行业传统旺季，需求增加，支撑煤炭价格较坚挺。
　　对后期煤炭价格走势的研判，一是煤矿安监力度加大，短期煤炭供应增速受限的预期增强；二是煤炭进口量趋于稳定，对国内煤炭价格的影响减弱；三是“迎峰度夏”期间，煤炭日耗将保持进一步提升态势。
　　总之，在中长协煤的支撑和进口煤的补充下，全省煤矿保供力度加大，总体库存仍然保持高位运行，叠加大力实施节能减碳、能源转型发展、水电出力得到改善等，缓解了部分煤炭需求压力，煤炭价格小幅上扬。预计下周全省煤炭市场价格将继续呈震荡偏强态势运行。"
7月第三周陕西省煤炭煤炭均价微跌,https://www.cctd.com.cn/show-361-235243-1.html,2023-08-01,,7月第三周陕西省煤炭煤炭均价微跌,"来源：陕西省商务厅
					
					发布时间：2023-08-01 09:41:11
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻",据商务部重要生产资料市场监测系统显示，7月15日至7月21日，陕西省煤炭均价1219.3元/吨，环比下跌2.1%。其中：无烟煤1450.0元/吨，环比下跌4.1%；动力煤746.7元/吨，环比下跌0.4%。陕西煤炭的价格在近期是止跌的，但还是处于小幅震荡的过程，受到进口煤增加与电厂煤库存持续高位的影响，迎峰度夏还不足以对煤价上涨形成有效的支撑，预计下一阶段的陕西煤炭价格仍将承压运行。
2023上半年天津市煤炭价格下降,https://www.cctd.com.cn/show-361-235241-1.html,2023-08-01,,2023上半年天津市煤炭价格下降,"来源：天津市商务局综合服务中心
					
					发布时间：2023-08-01 09:38:10
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","上半年，国内动力煤市场价格下行主要受供需格局宽松影响。供应方面，主产地在保供政策下稳定增产，澳煤放开进口，国际煤价下跌，进口利润增加，上半年进口煤同比去年同期增量明显，动力煤供应充裕。港口库存持续累积，电厂内长协煤支撑较足，拉运热情不高，港口调入量较多。需求方面，年后温度回升后，电厂日耗持续走低，传统制造业用电需求增速较慢，随着二季度汛期到来，水电发力取代部分水力发电，供需偏宽的格局下，二季度大型煤企外购价格下跌加剧市场悲观情绪，煤价弱势运行，5月底开始秦皇岛港口动力煤一年以来首次下调煤价，而后继续震荡走低。据对我市天津国源港通燃料油有限公司监测数据显示，上半年我市煤炭均价为730.08元/吨，较去年同期下降1.25%。
　　近期全国范围内高温来袭，用电量走高，沿海地区电厂日耗5月下旬以来延续高位。市场再度关注“迎峰度夏”用煤需求，叠加经济复苏途中全社会煤耗需求有望释放。6月份，保供政策继续推进，进口需求承压；下游将迎来用电旺季，电厂日耗走高，将释放采购需求，经济活力的释放也将推动工业用电增加，不过前期仍有一定库存压力，加上黑色冶炼等主要用电领域今年为止需求表现不佳，电需求增速不高，动力煤市场止跌企稳运行。据对我市天津国源港通燃料油有限公司监测数据显示，6月天津市煤炭均价为719.6元/吨，环比下降1.4%，较去年同期下降2.1%。
　　展望2023年下半年，在夏季和冬季旺季区间，火电负荷整体上升，电力耗煤需求的增加使得动力煤供需处于紧平衡状态，煤价支撑仍存；在长协可靠保障、进口大量补充的情况下，中下游库存高企的局面短期难以改变，煤价承压运行。全年来看，供应端释放充足、产量持续增长，进口增量客观，供需宽松格局明显，预计下半年煤价中枢将进一步下移。"
CCTD：日耗平淡 动煤稳中偏弱,https://www.cctd.com.cn/show-42-235239-1.html,2023-08-01,,CCTD：日耗平淡 动煤稳中偏弱,"来源：中国煤炭市场网
					
					发布时间：2023-08-01 09:26:19
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","上周市场情况综述
　　产地方面，上周主产地价格稳中偏弱，随着情绪转弱部分价格偏高煤矿下调报价。生产情况来看，鄂尔多斯、榆林受降雨影响露天矿产量有所回落，山西前期部分停产整顿煤矿已逐步复产。需求方面，水电环比有所好转，但同往年相比依旧偏弱，工业用电偏弱，火电负荷表现平淡，同时沿海市场走弱拖累产地采购情绪，非电需求也维持刚需采购，拉运车辆明显减少。汽运方面，上周中长途发运运费以稳为主；铁运方面，受制于价格倒挂，大秦线运力小幅回落，呼铁局请车仍处低位。
　　港口方面，上周稳中偏弱。台风影响下北港预到船舶明显减少，交投情绪转弱，沿海运费低位回落。北港调入调出量均小幅回落，库存略有去化。沿海终端日耗增长偏缓，电企仍以长协拉运为主，终端企业库存去化较往年明显偏晚，后续市场煤补库需求或将有限。江内库存也较前期回落，但南方港口库存依旧高位。印尼煤虽然6月以来发运有所减弱，但进口煤整体进口仍相对偏多，到港补充作用明显。西南近期降水尚可，但水电出力延续低迷。
　　本周市场行情研判
　　本周产地市场预计稳中偏弱，关注日耗表现。近期主产区供应一定程度受到降雨影响，本周为月初同时降水略有减弱，供应或将有所恢复。需求方面，内陆日耗受制于工业用电低迷表现及近期降水偏多影响，较前两年大体持平。本周全国范围降雨依旧偏多，水电环比增长但较往年差距仍难弥补，日耗预计难有突出表现。内陆终端企业库存去化速度较往年略低，库存绝对数量仍然偏高，市场对于后续终端补库需求较为悲观。产地港口倒挂明显，港口对产地市场压力持续。预计本周产地日耗依旧平淡，价格或将稳中偏弱。
　　本周港口市场预计稳中偏弱，关注日耗表现。近期沿海日耗随天气变化起伏较大，工业用电表现也有所转弱。本周沿海区域受台风影响，日耗或将有所回落，下游派船也受到明显影响。近期水电表现明显不及预期，尤其中下游水库水位偏低较为明显，本周水电环比转好对火电替代也较为有限。贸易商对八月日耗旺季期待降低，个别出货较为积极，电厂中标价格明显转弱。同时进口到港尤其高卡煤仍然偏多，终端电厂库存小幅去化，但时点较往年明显偏晚。非电行业刚需为主，但近期开工相对较弱，采购需求有限。目前华南港口库存依旧偏高，进口报价仍有优势，考虑到旺季已经过半，后续需求将季节性转弱，下水煤与进口煤对市场争夺将更为激烈。本周港口价格或稳中偏弱。（作者：书豪）"
截止7月26日山东能源集团供应省内中长期电煤907万吨,https://www.cctd.com.cn/show-22-235237-1.html,2023-08-01,,截止7月26日山东能源集团供应省内中长期电煤907万吨,"来源：大众日报
					
					发布时间：2023-08-01 09:18:09
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","近期，全国各地持续高温天气，用电负荷不断攀升，迎峰度夏能源保供进入关键期。山东能源集团筑牢煤炭储备“蓄水池”，把好入储、销售“两关口”，6月26日提前4天完成2023年迎峰度夏政府可调度煤炭储备任务，省内电煤中长期合同兑现率100%，实物储备始终保持在665万吨以上，为全省能源安全稳定供应提供了坚实的保障。
　　迎峰度夏期间，电厂发电负荷上升耗煤量增加，为全力做好电煤保供工作，山东能源集团面对省内电煤资源量不足的压力，聚焦“产、运、销”关键环节，及时采取调整生产结构、停售市场煤、减少原煤入洗、压减炼焦煤等措施，最大限度增加电煤资源量，全力进行电煤保供，充分发挥了电煤长协“压舱石、稳定器”作用。截止7月26日，累计供应省内中长期电煤907万吨，合同进度兑现率100%。
　　山东能源集团在保障实物储备不低于665万吨的基础上，今年以来，通过政府可调度煤炭储备轮换销售累计保供省内统调电厂82万吨、集团内部电厂35万吨。同时，加强发运质量管理，安排专人对接客户，实行跟踪式服务，做好装车运输、取样化验等环节日常管理，最大限度保障质量和数量稳定，确保满足用户需求，杜绝出现质量异议。
　　下一步，山东能源集团将始终把政府可调度煤炭储备作为首要任务，围绕“在储备中经营，在经营中储备”，将常态化任务与市场化运营相结合，着力构建多元、合理、灵活的煤炭储备体系，坚决打赢迎峰度夏能源电力保供攻坚战。"
山东港口潍坊港开启外贸煤炭业务,https://www.cctd.com.cn/show-41-235235-1.html,2023-08-01,,山东港口潍坊港开启外贸煤炭业务,"来源：中国水运网
					
					发布时间：2023-08-01 09:17:00
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","7月27日，满载19960吨外贸煤炭的“大荣祥”轮在山东港口渤海湾港潍坊港区顺利完成卸船作业，标志着潍坊港区成功开启外贸煤炭业务，该船煤炭也是潍坊关区首船外贸俄罗斯煤炭。
　　前期，潍坊港区腹地用煤企业多采用内贸煤炭，或通过其他大港采购外贸煤，潍坊港区口岸开放红利并未得到充分释放。
　　“我们通过主动深入调研，掌握潍坊港区终端市场用煤需求，结合现有航道条件，确定以俄罗斯煤炭为突破口，串联上下游企业，最终打通潍坊港俄罗斯流向煤炭通道，为腹地用煤企业提供新选择。”渤海湾港市场营销中心新业态中心业务经理周超说道。
　　今年以来，面对国际国内市场的严峻形势，渤海湾港重点针对煤炭业务，不断丰富服务内容和方式，携手兄弟板块打通腹地区域内从原料采购上水到下水销售供应链全流程业务合作。上半年成功开辟淄博、广饶、青州三个地区煤炭新通道，打造“港口+板块”融合发展模式在“全面攻坚年”的新样板。截至目前，潍坊港区煤炭共完成198万吨，同比增长214%。"
