字段1,字段1链接,字段2,详情标题,字段3,字段4
山西：实现煤矿所有有人作业场所视频监控全覆盖,https://www.cctd.com.cn/show-176-232421-1.html,2023-04-11,山西：实现煤矿所有有人作业场所视频监控全覆盖,"来源：央广网
					
					发布时间：2023-04-11 09:28:32
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","从国家矿山安全监察局山西局了解到，从4月1日起至年底，山西全省煤矿开展“用视频、反三违、防风险”活动，要求各办矿主体企业和生产建设煤矿对视频监控装备进行改造、增补，强化高清智能视频设备安设，实现煤矿所有有人作业场所视频监控全覆盖。
　　各生产建设煤矿强化视频监控系统管理，确保有人作业场所全天候、全时段受监督；强化监控人员素质提升，确保监控人员对“三违”行为做到实时识别、监测和精准研判。
　　各办矿主体企业和生产建设煤矿要加强“三违”行为成因分析，针对不同类型“三违”作业人员加强精准培训，推动从业人员自主保安意识养成，确保煤矿安全生产形势持续稳定好转。"
黑龙江省首季调度煤炭产量1559万吨,https://www.cctd.com.cn/show-176-232419-1.html,2023-04-11,黑龙江省首季调度煤炭产量1559万吨,"来源：黑龙江日报
					
					发布时间：2023-04-11 09:26:07
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","日前，记者从黑龙江省煤管局获悉，今年一季度全省调度煤炭产量1559万吨，创十年来同期最好水平，实现首季开门红。全省煤矿已连续17个月未发生亡人事故，连续66个月未发生重大及以上事故。
　　据黑龙江省煤管局相关负责人介绍，目前全省已建立181处煤矿项目建设清单台账，按照项目审批、开工备案、专项验收、竣工验收等环节，实施提前介入、全链条跟踪指导、上门服务；已推进13处煤矿联合试运转生产或竣工投产，释放煤炭优质产能375万吨/年。
　　推动采煤智能化，是黑龙江省各煤矿企业保安全、促增产的一项重要举措。根据《黑龙江省煤矿智能化建设实施方案(2023-2025年)》和《2023年煤矿智能化建设工作方案》，黑龙江省将利用3年时间推进全省灾害严重煤矿、120万吨/年及以上大型煤矿和其他具备条件的煤矿实现智能化开采。
　　今年，黑龙江省煤管局派出多个工作组，分别赴鸡西、鹤岗、七台河、双鸭山等地区煤矿进行服务指导，支持鼓励生产煤矿运用新装备新工艺提高生产效率，进一步实现采煤自动化、智能化。
　　黑龙江省煤管局还要求各地煤矿监管部门，要坚持人民至上、生命至上的理念，扎实开展煤矿安全生产综合整治、重点县(区)重点企业煤矿安全生产专项整治、超前研判防范重大安全风险、严厉打击非法违法生产建设行为等活动，对标国务院安委会15条、国家矿山安全监察局20条和省安委会46条安全生产措施，促进煤炭稳产增产达产。"
4月化工用煤需求或偏弱,https://www.cctd.com.cn/show-36-232417-1.html,2023-04-11,4月化工用煤需求或偏弱,"来源：中国煤炭报
					
					发布时间：2023-04-11 09:23:49
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","3月动力煤市场整体弱势运行。从3月初开始，产地端成交量就偏少，煤价开始下跌，一直到月末，动力煤价格仍在弱势下行。在此期间，陕西和内蒙古出现过几次产地价格的探涨反弹行情，根据了解，在3月煤价整体下行期间反弹的煤种多为化工用煤。陕西产地煤价跌幅达到每吨30元左右的时候，仍有部分化工煤每吨涨幅达20元左右，可见化工煤需求尚可，并一度支撑产地煤价持稳或者反弹。虽然电厂是动力煤主力耗煤大户，但现阶段长协保供背景下，化工耗煤在动力煤市场中有一定支撑。
　　3月甲醇市场偏弱运行。原油与甲醇在市场中有一定相关性，3月中旬以来国际油价大幅走低，在国际市场带动下，甲醇受其影响下行。临近3月末，甲醇市场价格整体下跌，每天跌幅为每吨40元至60元，下游需求暂未见明显增加，港口市场持续处于累库状态。
　　3月尿素市场偏弱运行。截至3月末，尿素每天降价幅度每吨10元至20元。虽然尿素市场正处季节旺季，但需求仍然偏弱。在电煤价格持续偏弱的情况下，无烟煤价格下跌，尿素固定床利润也继续修复。在成本端有优势情况下，尿素企业近期产量和开工率同比处于高位，但农业需求没有整体释放，对尿素需求一般。
　　关于甲醇后续市场，进入4月，陕西和内蒙古煤制甲醇企业均有检修计划。同时，4月也有装置陆续重启，但近期春检力度不及预期，市场供应相对偏宽松。甲醇下游行业利润一般，下游企业仍按需采购。综合来看，预计短期国内甲醇市场或弱稳运行，需要关注煤价波动和装置重启动态。
　　关于尿素后续市场，进入4月，在雨水增多影响下且农业需求有转好的预期，主流企业库存偏低均可给尿素带来一定支撑。但尿素下游拿货积极性不高状态可能会持续，且前期检修装置在4月有重启计划，尿素日产水平可能升高，预计短时间内尿素市场偏弱运行。"
4月化工用煤需求或偏弱,https://www.cctd.com.cn/show-36-232417-1.html,2023-04-11,4月化工用煤需求或偏弱,"来源：中国煤炭报
					
					发布时间：2023-04-11 09:23:49
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","3月动力煤市场整体弱势运行。从3月初开始，产地端成交量就偏少，煤价开始下跌，一直到月末，动力煤价格仍在弱势下行。在此期间，陕西和内蒙古出现过几次产地价格的探涨反弹行情，根据了解，在3月煤价整体下行期间反弹的煤种多为化工用煤。陕西产地煤价跌幅达到每吨30元左右的时候，仍有部分化工煤每吨涨幅达20元左右，可见化工煤需求尚可，并一度支撑产地煤价持稳或者反弹。虽然电厂是动力煤主力耗煤大户，但现阶段长协保供背景下，化工耗煤在动力煤市场中有一定支撑。
　　3月甲醇市场偏弱运行。原油与甲醇在市场中有一定相关性，3月中旬以来国际油价大幅走低，在国际市场带动下，甲醇受其影响下行。临近3月末，甲醇市场价格整体下跌，每天跌幅为每吨40元至60元，下游需求暂未见明显增加，港口市场持续处于累库状态。
　　3月尿素市场偏弱运行。截至3月末，尿素每天降价幅度每吨10元至20元。虽然尿素市场正处季节旺季，但需求仍然偏弱。在电煤价格持续偏弱的情况下，无烟煤价格下跌，尿素固定床利润也继续修复。在成本端有优势情况下，尿素企业近期产量和开工率同比处于高位，但农业需求没有整体释放，对尿素需求一般。
　　关于甲醇后续市场，进入4月，陕西和内蒙古煤制甲醇企业均有检修计划。同时，4月也有装置陆续重启，但近期春检力度不及预期，市场供应相对偏宽松。甲醇下游行业利润一般，下游企业仍按需采购。综合来看，预计短期国内甲醇市场或弱稳运行，需要关注煤价波动和装置重启动态。
　　关于尿素后续市场，进入4月，在雨水增多影响下且农业需求有转好的预期，主流企业库存偏低均可给尿素带来一定支撑。但尿素下游拿货积极性不高状态可能会持续，且前期检修装置在4月有重启计划，尿素日产水平可能升高，预计短时间内尿素市场偏弱运行。"
全国碳市场每日成交数据20230410,https://www.cctd.com.cn/index.php?m=content&c=index&a=show&catid=713&id=232566,2023-04-10,全国碳市场每日成交数据20230410,"来源：上海环境能源交易所
					
					发布时间：2023-04-10 17:32:00
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","今日全国碳市场碳排放配额（CEA）挂牌协议交易成交量29,990吨，成交额1,679,440.00元，开盘价56.00元/吨，最高价56.00元/吨，最低价56.00元/吨，收盘价56.00元/吨，收盘价较前一日上涨1.08%。今日无大宗协议交易。今日全国碳排放配额（CEA）总成交量29,990吨，总成交额1,679,440.00元。
　　截至今日，全国碳市场碳排放配额（CEA）累计成交量233,538,389吨，累计成交额10,686,765,957.34元。"
港口市场延续弱势 沿海煤炭运价微降,https://www.cctd.com.cn/index.php?m=content&c=index&a=show&catid=576&id=232410,2023-04-10,,,
关于动力煤期货2404合约有关事项的公告,https://www.cctd.com.cn/index.php?m=content&c=index&a=show&catid=606&id=232538,2023-04-10,关于动力煤期货2404合约有关事项的公告,"来源：郑州商品交易所
					
					发布时间：2023-04-10 15:04:00
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","关于动力煤期货2404合约有关事项的公告
〔2023〕27号
 
　　经研究决定，现将动力煤期货2404合约有关事项公告如下：
　　一、交易保证金标准和涨跌停板幅度
　　交易保证金标准为50%，涨跌停板幅度为10%。按规则规定执行的交易保证金标准和涨跌停板幅度高于上述标准的，仍按原规定执行。
　　二、交易限额
　　非期货公司会员或者客户单日开仓交易的最大数量为20手。单日开仓交易数量是指非期货公司会员或者客户当日在单个期货合约上的买开仓数量与卖开仓数量之和。实际控制关系账户组单日开仓交易的最大数量按照单个客户执行。套期保值交易和做市交易的开仓数量不受交易限额限制。
　　对于第一次超过交易限额的非期货公司会员或者客户，郑州商品交易所将采取暂停开仓不低于5个交易日的监管措施，累计两次超过交易限额的，将采取暂停开仓不低于1个月的监管措施。情节严重的，按照《郑州商品交易所违规处理办法》有关规定处理。
　　特此公告。
 
郑州商品交易所
2023年4月7日"
3月第五周内蒙古煤炭价格环比下降,https://www.cctd.com.cn/show-361-232392-1.html,2023-04-10,3月第五周内蒙古煤炭价格环比下降,"来源：内蒙古自治区商务厅
					
					发布时间：2023-04-10 09:59:39
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","据商务部重要生产资料市场监测系统数据显示：3月25日-3月31日，从监测品种样本数据来看，内蒙古煤炭平均价格为861.1元/吨，环比下降0.7%，与上一年同期相比（下称同比）下降1.7%。其中无烟煤2号洗选块煤均价为828.3元/吨，环比下降1.6%，同比下降4.2%；动力煤发热量5000-5500大卡均价为757.7元/吨，环比下降1%，同比下降1.3%；炼焦煤1/3焦煤均价为997.2元/吨，环比上涨0.3%，同比上涨0.4%。
　　内蒙古自治区商务厅表示，煤炭企业开工率增加，市场供应能力提升。随着电厂机组检修的开始，日耗下降、需求回落。气温回升，供暖企业采购减少，下游市场需求疲弱，交易活跃度低迷，部分贸易商及终端采购节奏放缓，共同拉动煤炭价格环比下降。预计近期煤炭市场运行稳定，价格将涨跌震荡运行。"
3月第五周福建省煤炭市场价格稳中下跌,https://www.cctd.com.cn/show-361-232390-1.html,2023-04-10,3月第五周福建省煤炭市场价格稳中下跌,"来源：福建省商务厅
					
					发布时间：2023-04-10 09:57:59
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻",根据商务部重要生产资料监测系统监测数据显示，本周（2023年3月27日-4月2日）福建省监测样本企业的煤炭市场价格平均为1576.17元/吨，环比下跌0.6%。其中无烟煤市场价格为1413.50元/吨，环比下跌0.7%；烟煤市场价格为1657.50元/吨，环比下跌0.5%。总体来看，福建省监测样本企业的煤炭市场价格稳中下跌。目前煤矿生产、供应稳定，下游采购积极性一般，仍以消化前期库存为主，整体市场观望情绪浓厚。预计后期福建省煤炭市场价格受供需变化等影响或将稳中调整。
山东能源集团与吉利控股集团签署战略合作协议,https://www.cctd.com.cn/show-22-232389-1.html,2023-04-10,山东能源集团与吉利控股集团签署战略合作协议,"来源：山东能源集团
					
					发布时间：2023-04-10 09:54:18
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","4月7日，山东能源集团与吉利控股集团战略合作协议在山东大厦举行。山东省委书记、山东省人大常委会主任林武，山东省委常委、济南市委书记刘强，山东省委常委、秘书长张海波，山东能源集团党委书记、董事长李伟，吉利控股集团董事长李书福，吉利控股集团党委书记黄新龙，吉利新能源商用车集团CEO范现军共同见证签约。

▲战略合作签约仪式现场
　　济南市委副书记、市长于海田主持签约活动。
　　山东能源集团党委常委、副总经理乐江华，吉利控股集团高级副总裁王召兴代表双方签约。
　　根据协议，双方将本着自愿双赢、互惠互利、相互促进、共同发展的原则，充分发挥双方优势，持续提升产品竞争力，共同开拓市场。同时，利用产业链资源及优势，在绿色动力、智慧储能等领域加强合作，助力企业实现零碳发展。
​"
国家能源集团与法国电力集团签署扩展合作协议,https://www.cctd.com.cn/show-22-232388-1.html,2023-04-10,国家能源集团与法国电力集团签署扩展合作协议,"来源：国家能源之声
					
					发布时间：2023-04-10 09:53:22
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","近年来，国家能源集团与法国电力集团开展了卓有成效的合作。2019年3月25日，在习近平主席与马克龙总统的共同见证下，国家能源集团与法国电力集团在巴黎签署了《江苏省东台四期和东台五期海上风电项目合作协议》，2021年建成国内首个中外合资海上风电项目--江苏东台海上风电项目，总装机容量50万千瓦，总投资约人民币80亿元。截至2023年3月，东台海上风电项目累计供应绿电35亿度，是国内同等条件下发电量最高的海上风电项目之一，可满足近500万居民的年用电需求。项目在设计、装备、建造中应用多项创新型技术，为海上风电向深远海发展做出了积极探索，荣获国家优质工程金奖。
​
　　当天，刘国跃在人民大会堂参加中法企业家委员会第五次会议，围绕“携手应对全球挑战、合作共促繁荣发展”作交流发言。
　　刘国跃就深化与法电合作、实现共享共赢发展提出三点倡议。一是积极构建共生共赢合作关系。发挥好两国企业作用，加强投资贸易全方位合作，共同营造公平、高效、有序的市场环境，合力应对气候变化等全球性挑战，推动项目成果更好惠及中法两国和项目所在地的第三国人民。二是积极推动全球清洁能源发展。共同把握全球能源绿色低碳转型的趋势，进一步加强绿色产业开发投资和绿色金融合作，大力推动风能、太阳能、氢能等清洁能源协同发展，加快新一批标志性合作项目落地，携手构建清洁低碳、安全高效的能源体系。三是积极深化能源科技创新突破。共同推动跨国、跨地区清洁低碳技术创新和标准合作，促进能源技术转移和推广普及，加强先进低碳技术联合攻关，推动全球清洁能源产业链高效畅通、迭代升级。"
国家能源集团与中信集团签署战略合作协议,https://www.cctd.com.cn/show-22-232387-1.html,2023-04-10,国家能源集团与中信集团签署战略合作协议,"来源：国家能源之声
					
					发布时间：2023-04-10 09:52:25
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","4月4日，国家能源集团与中信集团在京签署战略合作协议。国家能源集团党组书记、董事长刘国跃，中信集团党委书记、董事长朱鹤新出席签约仪式，就贯彻落实新发展理念、深化双方务实合作进行座谈交流。国家能源集团党组成员、副总经理冯树臣，中信集团党委成员、副总经理王国权分别代表双方签署协议。中信集团党委副书记、总经理奚国华，国家能源集团党组成员、总会计师冯来法出席相关活动。

　　根据协议，双方将在能源、金融、战略新兴产业、能源技术、智能城市、国际市场等多领域开展合作，增强国家金融和能源产业创新能力，提升国家核心竞争力，推动中央企业做强做优做大。
　　刘国跃对中信集团长期以来的大力支持表示感谢，高度评价中信集团改革发展取得的成绩，并简要介绍了国家能源集团历史沿革及能源产业情况。他表示，国家能源集团重组成立以来，全面贯彻落实党中央、国务院的决策部署，以建设具有国能特色的国有投资公司和世界一流企业为目标，聚焦主责主业，发挥全产业链一体化运营优势，持续增强能源保供稳价能力和供应链韧性，强化科技创新引领，突出大项目示范带动，全力推动企业绿色转型与高质量发展。希望双方以本次签约为新的起点，进一步加强沟通交流，不断深化在金融、能源、科技、国际项目等相关领域的务实合作，共同打造央企合作典范。
　　朱鹤新感谢国家能源集团多年来对中信集团的支持与关心，充分肯定了双方合作成效，并介绍了中信集团的产业情况和“五五三”发展战略。他表示，中信集团与国家能源集团同为国有重点骨干企业，在金融、能源等领域各具优势、互补性强，具有良好合作基础和广阔合作前景，希望双方充分发挥各自优势，强强联合、携手同行，在创建世界一流企业新征程中共同发展进步。奚国华介绍了双方业务合作情况，他表示，中信集团将提供更广泛的金融服务保障，助力双方在各领域合作迈上新台阶。
　　国家能源集团有关总助、总部有关部门和相关子分公司负责人，中信集团有关部门和相关企业负责人参加上述活动。"
辽宁省鞍山市实施废弃矿山复绿行动,https://www.cctd.com.cn/show-176-232386-1.html,2023-04-10,辽宁省鞍山市实施废弃矿山复绿行动,"来源：中国煤炭报
					
					发布时间：2023-04-10 09:50:08
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","近日，为科学布局和统筹推进全市废弃矿山复绿，辽宁省鞍山市政府印发实施《鞍山市废弃矿山复绿新突破三年行动方案（2023-2025年）》，力争到2025年，完成废弃矿山复绿面积24083.1亩。
　　该方案指出，鞍山市复绿目标中的废弃矿山分为无主废弃矿山和有主废弃矿山。无主废弃矿山复绿21553.38亩，其中2023年至2025年采用自然恢复6000.84亩，转型利用4671.79亩，辅助再生和生态重建10880.75亩；有主废弃矿山复绿2529.72亩。到2025年，完成全市废弃矿山复绿任务。
　　该方案明确，废弃矿山复绿工程在保障粮食生产区、辽东绿色经济发展区、自然与文化遗产区等重点地区率先启动，逐步在城市周边和丹锡高速公路、海岫铁路两侧“三区两线”范围内梯次推进，应种尽种、应绿尽绿。
　　同时，根据《鞍山市国土空间生态修复规划（2021—2035）》部署，鞍山市将合理安排生态修复治理的时间和空间，按照废弃矿山土地类型和自然条件，科学绿化，“一矿一策”，分类施策，宜耕则耕、宜林则林、宜草则草。
　　为确保政策有效落实，鞍山市将加强废弃矿山监管，跟踪评估方案实施效果；各县（市）区将完善考核评估体系，健全奖励机制，强化绩效评价对财政资金使用管理的导向和激励作用；加强项目实施审核把关，加强对涉及废弃土石料处置项目的监管，防止违规违法问题的发生。"
CCTD：近期进口煤市场基本平稳运行,https://www.cctd.com.cn/show-42-232384-1.html,2023-04-10,CCTD：近期进口煤市场基本平稳运行,"来源：中国煤炭市场网
					
					发布时间：2023-04-10 09:47:51
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","本周，恰逢清明假期，国内港口市场交易氛围较为平淡，进口煤市场同样平稳运行。
　　近期国内煤价持续走弱，而国际海运费持续上涨，进口煤到岸价与国内煤价的价差有所收窄，进口煤价格优势不明显，国内终端用户对印尼煤的采购因此放缓。除价格因素外，目前国内多数电厂仅维持刚需采购，水泥行业同样处于淡季，询货意愿也不高，需求端表现偏弱。通过对近期部分电企的招标情况来看，随着内贸市场下行，近期市场投标价重心也有所下移。
　　供应端方面，印尼煤炭出货量受斋月影响继续偏紧，部分货源装期推迟，市场上4月船期货源基本所剩无几，外矿报价仍较为坚挺。而受近期市场低迷情绪影响，国内终端用户和贸易商对5月船期货源并不急于询货，基本保持观望态度。市场上买卖双方较难达成一致意见，实际成交偏少。
　　对于后期进口煤市场走势，还应多关注国内市场情况。当前国内港口库存处于绝对高位，对市场情绪的压制较为明显，短期终端消极采购心态难有改善。但随着后期终端将纷纷为“迎峰度夏”做准备，需求仍存增加可能性。同时，近期印度买家的询货积极性不断提高，后期随着气温回升带动用电需求增加，印度采购需求仍将增长。印尼动力煤市场后期或将稳中向好运行，印尼煤价大概率将企稳回升。（作者：成方）"
一季度黄骅港电煤下水近5000万吨,https://www.cctd.com.cn/show-41-232382-1.html,2023-04-10,一季度黄骅港电煤下水近5000万吨,"来源：北京日报
					
					发布时间：2023-04-10 09:46:53
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","从国能港口公司黄骅港务获悉，截至3月31日，黄骅港务今年一季度完成煤炭卸车4934万吨，煤炭装船4889万吨，持续有力保障电煤供应。
　　黄骅港是我国西煤东运、北煤南运的第一大出海口。今年以来，国能港口公司黄骅港务发挥海铁联运潜力，打破航道制约，通过优化“双向通航+待移泊”船舶调度模式，积极组织5万吨级重载双向通航。据介绍，一季度黄骅港务共组织5万吨级船舶双进双出，多进多出52批222艘次，待泊作业59艘次，港口泊位使用率和船舶周转率全面提升。
　　黄骅港务强化与销售、铁路、航运等兄弟单位密切配合，一季度累计压缩船舶在港停时和进出港辅助时间1014艘次1295小时。季度安排设备维修101项3270小时，设备故障率降低近18%，为完成2023年一季度电煤保供任务奠定基础。"
一季度内蒙古准格尔旗煤炭销售量同比上升13.4%,https://www.cctd.com.cn/show-361-232381-1.html,2023-04-10,一季度内蒙古准格尔旗煤炭销售量同比上升13.4%,"来源：新华社
					
					发布时间：2023-04-10 09:45:12
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻",据内蒙古准格尔旗能源局统计数据显示，今年第一季度，全旗累计销售煤炭9105.9万吨，较去年同期增加1076.6万吨，同比上升13.4%。
陕西对28处煤矿类别进行分类调整,https://www.cctd.com.cn/show-176-232380-1.html,2023-04-10,陕西对28处煤矿类别进行分类调整,"来源：国家矿山安全监察局陕西局
					
					发布时间：2023-04-10 09:40:39
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","陕西局近日发出通知：
　　按照《国家煤矿安监局关于煤矿分类监管监察工作的指导意见》（煤安监监察〔2018〕15号）和陕西煤矿安全监察局、陕西省应急管理厅《关于印发<陕西省煤矿分类实施细则>的通知》（陕煤安监一发〔2020〕178号）要求，根据全省煤矿近期生产建设状态变化、重大隐患查处及安全生产事故情况，综合考虑煤矿分类各要素，严格按照煤矿分类实施细则、分类程序，对比本年初分类结果，经研究决定对28处煤矿类别重新进行界定，予以调整（详见附件）。
　　各处室要按照调整后的煤矿分类实施监察。对调整为长期停产停建或拟关退出的D类煤矿应加强巡查；对近期复产复工的D类调整为其他类别的矿井，应及时开展现场入井监察。对查处重大隐患、发生安全生产事故的矿井，由其他类调整为C类的，要按监察周期覆盖监察频次；对近期查处重大隐患、发生安全生产事故，已是C类（D类）的矿井，要加大盯防、监察执法力度。其他未调整类别的煤矿仍按原分类结果执行。
　　各驻地监察执法处将本文件精神传达至各相关产煤市、县（市、区）煤矿安全监管部门，督促各级煤矿监管部门根据煤矿分类调整情况，及时调整监管计划，加强日常监管工作。
　　一、计划关闭退出的
　　1.府谷县田家寨镇新田煤矿有限公司由B类调整为D1类
　　2.旬邑县席家山煤矿由C类调整为D1类
　　3.陕西神木市三岔煤矿有限公司由B类调整为D1类
　　二、由生产建设转为长期停产停建的
　　4.米脂县龙镇煤矿芦则沟井由C调整为D1类
　　三、由长期停产停建恢复生产建设的
　　5.子长县天任煤矿由D2类调整为C类
　　四、发生安全生产事故或查处重大隐患的，由ABC类调整C类的
　　6.旬邑县中达燕家河煤矿有限公司由A类调整为C类
　　7.国能榆林能源有限责任公司郭家湾煤矿分公司由A类调整为C类
　　8.榆林市横山区东方红煤矿由B类调整为C类
　　9.神木县永兴乡大贝峁煤矿由B类调整为C类
　　10.中国神华能源股份有限公司大柳塔煤矿大柳塔井由A类调整为C类
　　11.陕煤集团神木张家峁矿业有限公司由A类调整为C类
　　12.神木大砭窑气化煤有限责任公司由A类调整为C类
　　13.神木县三江能源有限公司由A类调整为C类
　　14.府谷县红草沟煤矿有限公司由A类调整为C类
　　15.府谷能源投资集团五一矿业有限公司由B类调整为C类
　　16.府谷县大昌汗乡张三沟煤矿由B类调整为C类
　　17.府谷县新阳矿业有限公司由B类调整为C类
　　18.陕西省府谷县中能亿安矿业有限公司由B类调整为C类
　　19.横山区方圆矿业有限责任公司由B类调整为C类
　　20.横山区正和煤业有限责任公司由B类调整为C类
　　21.延川县新泰煤矿由B类调整为C类
　　22.延安市禾草沟煤业有限公司由B类调整为C类
　　23.延安市禾草沟二号煤矿有限公司由B类调整为C类
　　24.子长县恒发煤炭有限责任公司由B类调整为C类
　　25.富县矿业开发公司芦村一号煤矿分公司由B类调整为C类
　　26.黄龙县小寺庄煤矿有限责任公司由B类调整为C类
　　27.韩城市龙源煤矿由B类调整为C类
　　28.旬邑县留石村煤矿由B类调整为C类
　　五、发生安全生产事故或查处重大隐患，本已为C类（D1类），要加大盯防、执法力度的
　　子长县中达焦家沟煤业有限公司
　　神木市德泉矿业有限公司德泉煤矿
　　神木市三道峁煤矿（普通合伙）
　　陕西榆林常家梁胜利煤矿有限公司
　　府谷县谊丰煤矿有限公司
　　府谷县工农联营煤矿
　　黄陵县店头宏兴煤业有限公司
　　铜川乔子梁煤业有限公司
　　陕西西韩兴隆煤矿有限公司
　　陕西狮山能源煤业有限公司
　　陕西星火煤业有限责任公司
　　白水县城关镇北关煤业有限责任公司
　　白水县烽源煤业有限责任公司
　　西安市蒲城秦家坡煤矿
　　陕西彬长胡家河矿业有限公司
　　国电永寿煤业有限责任公司碾子沟煤矿（D1类）"
