字段1,字段1链接,字段2,详情标题,字段3,字段4
新疆最大煤炭产销企业春节产销两旺,https://www.cctd.com.cn/show-22-230655-1.html,2023-01-30,新疆最大煤炭产销企业春节产销两旺,"来源：兵团广播电视台
					
					发布时间：2023-01-30 09:44:49
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","春节期间，国家能源集团新疆能源有限责任公司日生产煤炭约24万吨，有力保障疆内外供暖、电力等重点企业的煤炭供应。

图为国家能源集团新疆能源有限责任公司准东露天煤矿战风雪、迎寒潮，开足马力生产煤炭，确保能源供应。
　　国家能源集团新疆公司是新疆最大的煤炭产销企业，落实能源保供责任。春节期间，该公司所属准东露天煤矿、红沙泉煤矿、黑山煤矿开足马力生产，7000余名员工坚守岗位，克服大风大雪恶劣天气影响，确保煤炭生产不断线，能源保供不停歇。
　　春节期间，国家能源集团新疆公司自产煤炭167.8万吨，较去年春节增加24万吨，增长16.7%；销售煤炭170.1万吨，较去年春节增加24.9万吨，增长17.1%。
　　通过铁运、汽运等多元运输方式，国家能源集团新疆公司扩大疆煤外运量。春节期间，火车运输日均发运22列，发运51.5万吨，其中区外发运17.3万吨，区内发运34.2万吨。
　　为做好“疆煤出疆”工作，国家能源集团新疆公司开辟了绿色通道，通过“专车带道、专用煤场、专用铲车”保障产销，让外运效率大幅提升。
　　据统计，该公司春节期间向贵州发运了8列2.7万吨煤炭，向内蒙古棋盘井发运约4.5万吨煤炭，超去年全年发运量。
　　截至1月27日，国家能源集团新疆公司1月已累计向贵州发运19列6.7万吨煤炭，创单月发运历史新高。发往内蒙古棋盘井的煤炭还将通过铁路转运到其他省区市，保障下游企业供应。"
2023煤炭行业怎么干？各地两会释放新信号,https://www.cctd.com.cn/show-176-230653-1.html,2023-01-30,2023煤炭行业怎么干？各地两会释放新信号,"来源：中国煤炭网
					
					发布时间：2023-01-30 09:39:45
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","近期，各地两会陆续召开。中央经济工作会议提出，2023年要“优化产业政策实施方式，狠抓传统产业改造升级和战略性新兴产业培育壮大”。对于煤炭这个传统产业，各地政府打算怎样发展？有哪些新作为和新机遇？小编从已发布的各地政府工作报告中撷取了与煤炭有关的内容，一起来了解~
　　山西
　　加快能源产业绿色低碳转型。在确保安全生产前提下，加快煤炭先进产能释放，力争煤炭产量达到13.65亿吨。做好电煤稳价保供。积极布局先进环保高效煤电机组，稳妥推进煤电项目“上大压小”，完成煤电机组“三改联动”1600万千瓦。推进外送电通道建设。加快现代煤化工高端化多元化低碳化发展，促进煤炭分质分级梯级利用，支持朔州市抓好煤新一体化及煤化一体化，推动煤制高端化学品、煤制高端碳材料等关键技术取得突破，促进煤炭向原料、材料、终端产品转变。
　　加快推动战略性新兴产业融合集群发展。做大节能与新能源汽车、现代医药和大健康、合成生物、现代煤化工等百亿产业。
　　打造特色优势产品交易平台。着力打造辐射全国的煤炭、焦炭交易中心，编制发布全品种煤炭、焦炭等价格指数，构建涵盖供应链、金融、储备等功能的综合服务体系。
　　全面实施钢铁、焦化、煤电行业污染深度治理，拓展散煤清零工程范围，加大氮氧化物和挥发性有机物减排力度，加强无组织排放管控，力争山西省城市全部退出空气质量排名后十位。
　　守牢安全生产底线。压紧压实各方责任，严格巡查考核督导，严肃追责问责。持续深化煤矿、非煤矿山、道路交通等重点领域安全治理，落实风险分级管控和隐患排查治理双重预防机制，全面开展安全生产标准化创建，提升本质安全水平，坚决杜绝重特大事故、遏制较大事故、减少一般事故。
　　内蒙古
　　加快推进能源经济多元化、低碳化、高端化。能源产业是内蒙古自治区起家的产业，更是当家的产业，只应做大做强、不能做小做丢。全力推动传统能源和煤基产业老树发新芽。内蒙古自治区煤炭产量约占全国的1/4、全球的1/8，如果只是一味地在产量上做文章、不在产业上做文章，不把产业链拉长、转化率提高，就不可能改变简单“挖煤卖煤”的局面，煤炭、油气这些地下宝藏不能挖出来就拉走，一定要在内蒙古大地上转化增值。要瞄准“煤头化尾”，支持鄂尔多斯建设现代煤化工产业示范区，加快布局一批新型煤化工项目，也要促进煤焦、氯碱、氟硅化工产业延伸融合，靠顶天立地的大项目和延伸细分的好项目撑起转化增值的新天地。加强煤炭清洁高效利用，全面实施煤电机组“三改联动”，把淘汰落后机组转为应急和调峰机组，把传统燃煤电厂转为新型绿色智慧电厂。提高煤炭弹性产能和应急保供能力，加大油气资源勘探和增储上产力度，推动非煤矿产资源绿色安全有序开发。
　　做大做强现代煤化工产业链，聚焦煤基特种燃料和煤基生物可降解材料，重点推动煤制烯烃向弹性体材料、尼龙、特种塑料等产品延伸，推动煤制乙二醇向聚乙醇酸、聚酯纤维等产品延伸，提高技术、设备、催化剂等区内配套率，加快中石化、宝丰等重大项目建设，支持鄂尔多斯可再生能源制氢与现代煤化工产业耦合发展，支持乌海建设煤基生物可降解材料产业基地，力争今年现代煤化工产值突破千亿元大关。通过集中推进、重点突破，使农畜产品生产及精深加工、新能源及装备制造、煤炭及煤基产业、金属采冶及新材料制造这4大支柱产业产值向万亿级迈进，尽快把绿色特色优势现代产业集群做起来。
　　扎实做好城镇集中供热用煤、农牧民“暖心煤”保障和清洁取暖改造工作，确保群众温暖过冬。
　　陕西
　　强化能源工业支撑力。着力优煤、稳油、扩气、增电，巩固能源产业优势地位。扛牢保能源安全责任，抓好煤炭稳产保供和优质产能建设，争取海则滩等4处煤矿开工建设，确保煤炭产量达到7.5亿吨。新开工煤电项目1000万千瓦以上。实施新一轮战略性矿产找矿行动，提升战略性资源供应保障能力。推进陕煤煤炭分质利用二阶段、国能CTC后续工程、榆林煤制清洁燃料等重大项目，大力促进能源化工产业高端化、多元化、低碳化发展。
　　推动陕北地区能源革命转型升级，拓展煤油气盐多元综合循环利用途径，加快榆林能源革命创新示范区和延安现代能源经济示范区建设，支持榆林、延安高质量协同发展。
　　构建安全风险分级管控和隐患治理预防机制，落实“党政同责、一岗双责、齐抓共管、失职追责”制度和“三管三必须”要求，深化煤矿、非煤矿山、危化品、交通、消防、建筑等领域专项整治。
　　贵州
　　大力发展基础产业。坚定把能源产业作为战略性支柱产业来打造。围绕打造新型综合能源基地和西南地区煤炭保供中心，做强做优做大贵州能源集团，推动煤炭与新能源融合发展。深入实施煤炭产业结构战略性调整，加快实施“六个一批”分类处置措施，促进煤矿规模化、智能化发展。加快省级煤炭矿区规划修编，新建、技改扩能30处煤矿和5处以上露天煤矿，建成投产40处煤矿，原煤产量达1.45亿吨。加强电煤中长期合同履约监管，电煤供应量8000万吨以上。加快528万千瓦在建煤电项目建设，推进480万千瓦现役煤电机组改造升级，开工建设贵阳、黔南抽水蓄能电站项目，电力装机规模达8400万千瓦以上。加快页岩气、煤层气增储上产，天然气供应能力26亿立方米左右。大力发展矿产资源精深加工。加快建设全国重要的资源精深加工基地，深入实施新一轮找矿突破战略行动，提升煤、磷、铝、锰等优势矿产资源勘查程度，新增和提级资源储量。坚持“富矿”必须“精开”，规范有序进行资源开发。
　　在煤炭流态化开采、微生物组等方向培育全国重点实验室，加快建设国家制造业创新中心等国家级重大创新平台。加快推进智能采掘、智能建造等重大科技产业工程，着力突破煤炭地下气化、磷石膏和锰渣综合利用等一批“卡脖子”薄弱环节，推动优势矿产资源数字化勘查开发等10项以上重点科技成果转化。
　　强化安全生产源头管控，大力提高煤矿智能化采掘水平，深入开展交通安全设施精细化提升行动，提高本质安全水平。
　　宁夏
　　增强当前资源紧缺和未来资源枯竭的危机感，制定煤炭及关联产业安全发展十年战略规划，充分发挥资源能源比较优势。千方百计加大内增产能、外增供给力度，实施能源扩增计划。加快释放煤炭先进产能，加大矿产资源勘查力度，加快双马二矿、马儿庄、韦四、月儿湾等新建煤矿核准建设，新增煤炭产能240万吨，总产量达到1亿吨左右。加快提升火电配套产能，开工建设六盘山2×100万千瓦热电、灵武2×66万千瓦火电项目，加快推进中卫4×66万千瓦火电项目，力争电力装机年内达到6800万千瓦。加快气田开发建设，推动盐池千亿方级大型气田、石嘴山煤层气开发利用，开工建设158口气井，力争日产气量达到85万立方米。加快推进绿能开发，构建新能源供给消纳体系，抓好10个大型风电水电基地、11个光伏园区建设，新增新能源装机300万千瓦，占比达到50%，绿氢产能达到2.5万吨，全面强化煤电油气产运供保障，为宁夏可持续发展提供可靠保障。
　　全面强化煤矿、危化、燃气、交通、消防、网络运行等重点领域风险隐患源头整治，力争2025年前全区正常生产煤矿全部达到安全生产标准化三级及以上、化工园区（集中区）安全风险等级全部降到低风险等级，坚决遏制重大事故。
　　新疆
　　有效释放能源资源潜力，以煤炭为基础、油气为关键、新能源为方向，全面推进新时代国家“三基地一通道”建设，全力保障国家能源安全。加快释放煤炭先进优质产能，在准噶尔、吐哈、伊犁、库拜等区域建设一批大型现代化智能化煤矿，推进“疆煤外运”北、中、南通道扩能提升，推动“疆电外送”配套煤电和疆内支撑性煤电项目建设，力争“疆煤外运”8800万吨、“疆电外送”1300亿千瓦时。加快推动现代煤化工重大项目建设，加快推进准东国家级现代煤化工示范区、哈密国家级现代能源与化工产业示范区建设，构建以煤炭清洁高效利用为核心的循环产业链。
　　巩固提升南疆“煤改电”一期成果，完成“煤改电”二期27.95万户年度改造任务，研究推动北疆“煤改气”工程。
　　统筹兵地产业园区发展，加大土地、水、油气、煤矿等发展资源要素配置力度，支持喀什和霍尔果斯经济开发区兵团分区、塔城重点开发开放试验区九师片区、准东经济技术开发区兵团产业园区建设；共同推进一批重大公路、铁路、水利、电网和能源矿产资源勘探及开发利用等项目建设。
　　甘肃
　　放大能源资源优势。释放先进煤炭产能，开工建设平山湖一号井、安家庄、九龙川等煤矿，扩大红沙梁、邵寨等煤矿规模，建成投产新庄、五举、吐鲁东、东水泉等大中型煤矿，新增煤炭产能1775万吨。建设680万吨中央和地方政府可调度煤炭储备基地。持续开展找矿突破行动，组建省属矿产资源集团，推动矿业权公开出让常态化。  
　　山东
　　开工6个超超临界大型煤电项目。
　　抓好能源保供。加快山东能源唐口储煤和华电青岛、华能泰安重型燃气机组等项目建设，建成三峡庆云二期、华润财金东营新型储能项目。健全油气产供销体系，增强储备调峰能力，争取煤炭、原油产量分别稳定在8600万吨、2100万吨以上。
　　福建
　　坚持完善能源产供储销体系，建立健全能源安全应急响应机制，加快煤炭储备基地、油气储备设施建设，协调推动煤炭、天然气等中长协合同签约，扎实做好电力保供工作。
　　云南
　　建立煤电电能量和调节容量市场，健全新能源和储能价格形成机制，开展电力现货试点。
　　推动煤炭安全清洁高效利用，释放优质产能，力争原煤产量7100万吨以上。
　　辽宁
　　科学推进抚顺西露天矿、阜新海州矿等矿坑综合治理和整合利用，加快采煤沉陷区等治理步伐。
　　加快能源清洁低碳转型。实施煤炭总量控制，有序发展高质量煤电，推动煤电节能降碳改造、灵活性改造、供热改造。
　　吉林
　　加快实施大型燃煤锅炉超低排放改造，推进重点区域散煤治理。
　　统筹做好重要民生商品保供稳价和煤电油气运保障供应。
　　江苏
　　积极争取国家“先立后改”大型煤电装机在江苏省布局，远近结合提升煤炭储备能力，支持建设省外综合能源基地，确保迎峰度夏、迎峰度冬能源电力正常供给，为产业链供应链安全稳定提供坚实保障。
　　安徽
　　深化国资国企改革。推进港航、煤电、粮食等资源整合，打造具有国际竞争力和影响力的大企业、大集团。
　　实施新一轮找矿突破战略行动。加强生态屏障建设。加强采煤沉陷区综合治理，高质量推进新安江—千岛湖生态保护补偿试验区建设。
　　河南
　　支持平煤神马、河南能源、郑煤机等企业打造一流旗舰劲旅，推动豫信电科发展数字经济核心产业，组建河南钢铁集团。
　　推动煤炭清洁化利用，力争规模以上工业企业增加值能耗降低4%左右。
　　广西
　　加强煤炭清洁高效利用，稳步推进煤电机组“三改联动”，推动煤炭和新能源优化组合，加快新能源发电项目建设并网。
　　重庆
　　提升煤电油气、原材料等资源保障能力，打造更具韧性和竞争力的产业链。
　　河北
　　加快调整能源结构，推动煤炭清洁高效利用。"
中国央行支持煤炭清洁高效利用专项再贷款延续实施至2023年末,https://www.cctd.com.cn/show-176-230651-1.html,2023-01-30,中国央行支持煤炭清洁高效利用专项再贷款延续实施至2023年末,"来源：中国新闻网
					
					发布时间：2023-01-30 09:37:16
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","中国央行29日发布消息称，其近日印发通知，延续实施碳减排支持工具等三项货币政策工具，目的在于精准有力实施好稳健的货币政策，引导金融机构加大对绿色发展等领域的支持力度。
　　具体来看，一是碳减排支持工具延续实施至2024年末，将部分地方法人金融机构和外资金融机构纳入碳减排支持工具的金融机构范围，进一步扩大政策惠及面，深化绿色金融国际合作。
　　二是支持煤炭清洁高效利用专项再贷款延续实施至2023年末，2023年继续并行实施碳减排支持工具和支持煤炭清洁高效利用专项再贷款，在保障能源供应安全的同时支持经济向绿色低碳转型，助力科学有序实现碳达峰碳中和目标。
　　三是交通物流专项再贷款延续实施至2023年6月末，将中小微物流仓储企业等纳入支持范围，进一步增强金融支持交通物流保通保畅的力度，助力交通物流业高质量发展。
　　中国央行表示，下一阶段，结构性货币政策将坚持“聚焦重点、合理适度、有进有退”，继续加大对普惠金融、绿色发展、科技创新、基础设施建设等国民经济重点领域和薄弱环节的支持力度。"
CCTD：高库存压制节后煤炭市场,https://www.cctd.com.cn/show-42-230649-1.html,2023-01-30,CCTD：高库存压制节后煤炭市场,"来源：中国煤炭市场网
					
					发布时间：2023-01-30 09:33:35
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","假期市场情况综述
　　产地方面，假日及节后归来首日呈现供需两弱的局面，价格保持平稳运行。主流大矿多短休为主，维持相对平稳生产，中小型民营煤矿多提前停产放假。整体而言假期开工率低于前两年，但产能核增后基数增幅明显，产量相对得以保障。长假中寒潮对北方地区影响较大，但工业用电需求假期也处于淡季，云贵、河南、广西等火电负荷偏高区域的长协兑现也足以满足需求，其他区域库存相对充足迎峰度冬压力不大。目前主产区煤矿已陆续复产，内蒙复产进度相对较快，榆林区域多数煤矿也有一定存煤可供销售。运输方面，假期期间汽运运力缩减，运费上行，大秦线、张唐线火运运量保持高位。
　　港口方面，假日及节后归来首日同样呈现供需两弱局面，部分报价小幅下调。近日北港调入量相对稳定，而受恶劣天气封航及需求淡季影响，北港调出相对偏低，假期期间北港库存延续累积趋势，绝对数量超往年同期。沿海整体日耗水平受寒潮影响有限，已接近近年同期低位，机组负荷暂无压力。终端以兑现长协为主，市场煤采购基本处于停滞状态，因此沿海电厂近期入厂煤量偏低，库存主动小幅去化，但仍较充足。
　　后市研判
　　下周产地市场预计以稳为主，关注节后供需恢复节奏。节后第一周供需逐步恢复，但较正常水平仍有差距，预计观望情绪依旧较浓。目前民营煤矿产量陆续回归，部分还在等待手续办理进度。下游电企库存普遍较为充足，后期气温将逐步回暖，市场煤采购积极性不高，化工、水泥等非电行业或展现一定补库需求，但距离消费旺季仍有一定时间。假期期间旅游、餐饮等第三产业恢复尚可，地产、汽车销量有所承压，近期持续出台提振经济相关政策，后续工业用电预期偏强，中电联预计全社会用电今年将增长6%。但我们认为火电增幅有限，水电及新能源将贡献主要增量。运输方面，近期产地以晴朗天气为主，铁运运量仍将维持高位。
　　国资委近期要求煤炭企业要充分发挥先进煤矿产能优势，尽快释放煤炭先进产能，保障好生产、发运和销售有效衔接，确保煤炭安全供应，带头执行电煤中长期合同价格机制，切实维护煤价稳定。在市场价格尚未持续走弱之前，预计增产保供政策将在较长时间内延续。
　　下周港口市场预计稳中偏弱，关注节后需求情况。节前沿海价格已有所松动，节后首日仍有部分贸易商下调报价，但市场煤成交仍较为有限。今年防控政策调整预计返乡人数及停留时间或将增加，从百度迁徙指数来看节后返工进展较为迅速，需关注复工后工业用电回升情况。节后沿海气温较往年相近，火电负荷预计压力依旧较小，在港口及终端存煤均处高位的背景下，电厂节后采购意愿仍将有限，长协煤供应已较为充足。同时澳煤进口影响中长期也将逐步显现。
　　海外方面，欧洲由于创纪录的暖冬天气，煤炭消费大幅减少，加之西欧ARA三港煤炭库存高企、风力发电强劲和天然气价格暴跌，煤价持续下降；并带动南非动力煤价格回落；而亚太地区的煤炭市场价格相对来说保持基本平稳，小幅波动，国内假期期间几无成交。（作者：书豪）"
陕西：2023年抓好煤炭稳产保供和优质产能建设 确保煤炭产量达到7.5亿吨,https://www.cctd.com.cn/show-176-230647-1.html,2023-01-30,陕西：2023年抓好煤炭稳产保供和优质产能建设 确保煤炭产量达到7.5亿吨,"来源：陕西日报
					
					发布时间：2023-01-30 09:25:43
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","1月19日，陕西省政府发布了《2023年政府工作报告》。报告指出，2022年陕西省坚决完成能源保供任务，全年外送煤炭近5亿吨、电量600亿千瓦时。 
　　2023年将强化能源工业支撑力。着力优煤、稳油、扩气、增电，巩固能源产业优势地位。扛牢保能源安全责任，抓好煤炭稳产保供和优质产能建设，争取海则滩等4处煤矿开工建设，确保煤炭产量达到7.5亿吨。 
　　加大油气资源勘探开发和增储上产力度，加快宜黄、神府区块天然气勘探开发，支持镇巴页岩气开发，原油和天然气产量分别达到2580万吨、310亿方。 
　　全省规划发电量2900亿千瓦时、增长7.4%，新增新能源装机1000万千瓦、总规模达到4000万千瓦，新开工煤电项目1000万千瓦以上。 
　　实施新一轮战略性矿产找矿行动，提升战略性资源供应保障能力。 
　　推进陕煤煤炭分质利用二阶段、国能CTC后续工程、榆林煤制清洁燃料等重大项目，大力促进能源化工产业高端化、多元化、低碳化发展。"
内蒙古计划2023年煤炭产量达到12.5亿吨左右,https://www.cctd.com.cn/show-176-230645-1.html,2023-01-30,内蒙古计划2023年煤炭产量达到12.5亿吨左右,"来源：内蒙古自治区人民政府
					
					发布时间：2023-01-30 09:24:29
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","1月29日，《内蒙古自治区人民政府关于下达2023年自治区国民经济和社会发展计划的通知》发布。《计划》指出，2023年，内蒙古自治区将高质量完成能源保供任务。 
　　实施自治区《煤炭产能稳定接续和有序开发方案》，加快国家批复同意的核增产能煤矿手续办理，全力推动在建煤矿建成达产，努力盘活“僵尸”煤矿闲置资源，在产煤矿总产能稳定在13亿吨以上，煤炭产量达到12.5亿吨左右，保障全国2/3以上省份的用煤需求。 
　　切实保障电力供应，力争全年电力装机总规模突破2亿千瓦，发电量达到7100亿千瓦时左右，其中，外送电量达到2930亿千瓦时。推进外送通道建设，力争蒙西至京津冀直流输电工程核准并开工建设。 
　　落实国家新一轮找矿突破战略行动要求，加大油气资源勘探和增储上产力度，推动非煤矿产资源绿色安全有序开发。 
　　前一日，内蒙古自治区人民政府还发布了《2023年坚持稳中快进稳中优进推动产业高质量发展政策清单》，其中提到，支持煤炭优质产能释放，提高发电供热用煤中长期合同履约水平。优化电价政策，支持煤电企业提高发电出力。"
1月以来大秦铁路煤炭运输突破3000万吨,https://www.cctd.com.cn/show-39-230641-1.html,2023-01-29,1月以来大秦铁路煤炭运输突破3000万吨,"来源：央视新闻
					
					发布时间：2023-01-29 11:29:10
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","从中国铁路太原局了解到，今年以来，中国铁路太原局充分发挥大秦铁路能源通道作用，优先保障电煤运输，提高电煤装车比重，1月份以来（截至26日），全线煤炭运量突破3000万吨，同比增长5.5%。 
　　为保障人民群众温暖过冬、温馨过节，中国铁路太原局春节前对煤矿生产量、电厂耗煤量全面对接掌握，提前做好装车预案，确保货源充足；紧盯主要装车站和卸车站，提高取送车效率，对电煤运输需求“充分满足、应装尽装”。在运输组织方面，科学压缩重载列车发车间隔，尽力组织同一到站和方向的高质量列车，不断提高列车开行效率，保障节日期间人民群众发电供暖用煤需求。 
　　目前，大秦铁路对口供应的秦皇岛港、唐山港、曹妃甸港存煤量保持在2300万吨以上，同比增长800余万吨。 
　　2022年，大秦铁路煤炭运输量3.968亿吨，低于最初目标4.3亿吨。随着国内全面放开疫情管控措施，经济加速复苏将带动煤炭消费量回升，2023年大秦线煤炭运输量将有望增加。"
2022年全国电力市场交易量5.25万亿千瓦时 同比增长39%,https://www.cctd.com.cn/show-19-230637-1.html,2023-01-29,2022年全国电力市场交易量5.25万亿千瓦时 同比增长39%,"来源：中电联规划发展部
					
					发布时间：2023-01-29 10:12:46
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","1-12月，全国各电力交易中心累计组织完成市场交易电量52543.4亿千瓦时，同比增长39%，占全社会用电量比重为60.8%，同比提高15.4个百分点。其中，全国电力市场中长期电力直接交易电量合计为41407.5亿千瓦时，同比增长36.2%。 
　　12月份，全国各电力交易中心组织完成市场交易电量4817.7亿千瓦时，同比增长17.9%。其中，全国电力市场中长期电力直接交易电量合计为3731.4亿千瓦时，同比增长17.5%。 
　　一、全国各电力交易中心交易情况 
　　1-12月，全国各电力交易中心累计组织完成市场交易电量52543.4亿千瓦时，同比增长39%，占全社会用电量比重为60.8%，同比提高15.4个百分点。省内交易电量合计为42181.3亿千瓦时，其中电力直接交易40141亿千瓦时（含绿电交易227.8亿千瓦时、电网代理购电8086.2亿千瓦时）、发电权交易1908.4亿千瓦时、抽水电量交易9.6亿千瓦时、其他交易122.4亿千瓦时。省间交易电量合计为10362.1亿千瓦时，其中省间电力直接交易1266.7亿千瓦时、省间外送交易8999.8亿千瓦时、发电权交易95.7亿千瓦时。 
　　12月份，全国各电力交易中心组织完成市场交易电量4817.7亿千瓦时，同比增长17.9%。省内交易电量合计为3793.5亿千瓦时，其中电力直接交易3628.6亿千瓦时（含绿电交易28.4亿千瓦时、电网代理购电872.9亿千瓦时）、发电权交易150.9亿千瓦时、抽水电量交易4亿千瓦时、其他交易9.9亿千瓦时。省间交易电量合计为1024.2亿千瓦时，其中省间电力直接交易102.7亿千瓦时、省间外送交易911.5亿千瓦时、发电权交易10亿千瓦时。 
　　1-12月，国家电网区域各电力交易中心累计组织完成市场交易电量41618.2亿千瓦时，同比增长42.7%，占该区域全社会用电量的比重为60.8%，其中北京电力交易中心组织完成省间交易电量合计为9609亿千瓦时，同比增长50.6%；南方电网区域各电力交易中心累计组织完成市场交易电量8536.3亿千瓦时，同比增长27.4%，占该区域全社会用电量的比重为58.3%，其中广州电力交易中心组织完成省间交易电量合计为753.1亿千瓦时，同比增长27.6%；内蒙古电力交易中心累计组织完成市场交易电量2388.9亿千瓦时，同比增长24.9%，占该区域全社会用电量的比重为71.9%。 
　　二、全国电力市场中长期电力直接交易情况 
　　1-12月，全国电力市场中长期电力直接交易电量合计为41407.5亿千瓦时，同比增长36.2%。其中，省内电力直接交易（含绿电、电网代购）电量合计为40141亿千瓦时，省间电力直接交易（外受）电量合计为1266.5亿千瓦时。 
　　12月份，全国电力市场中长期电力直接交易电量合计为3731.4亿千瓦时，同比增长17.5%。其中，省内电力直接交易（含绿电、电网代购）电量合计为3628.6亿千瓦时，省间电力直接交易（外受）电量合计为102.7亿千瓦时。 
　　1-12月，国家电网区域中长期电力直接交易电量合计为31995.3亿千瓦时，同比增长38.5%；南方电网区域中长期电力直接交易电量合计为7367.5亿千瓦时，同比增长28.3%；蒙西电网区域中长期电力直接交易电量合计为2044.7亿千瓦时，同比增长31%。"
1月第二周内蒙古煤炭价格环比上涨,https://www.cctd.com.cn/show-361-230635-1.html,2023-01-29,1月第二周内蒙古煤炭价格环比上涨,"来源：内蒙古自治区商务厅
					
					发布时间：2023-01-29 10:03:06
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","据商务部重要生产资料市场监测系统数据显示：（1月7日-1月13日），从监测品种样本数据来看煤炭平均价格为896.97元/吨，与前一周比（下称环比）上涨0.4%，与上年同期相比（下称同比）上涨1.7%。其中无烟煤2号洗选块煤均价为894元/吨，环比上涨0.7%，同比上涨1.8%；动力煤发热量5000-5500大卡均价为803.47元/吨，环比上涨0.3%，同比上涨2.6%；炼焦煤1/3焦煤均价为993.44元/吨，环比上涨0.3%，同比上涨1%。
　　内蒙古自治区商务厅表示，春节临近，下游储备带动需求增加。成品油价格上涨储运成本增加，共同推动煤炭价格环比上涨。预计近期煤炭市场运行稳定，价格将涨跌震荡运行。"
2022年12月山西省煤炭价格以涨为主,https://www.cctd.com.cn/show-361-230633-1.html,2023-01-29,2022年12月山西省煤炭价格以涨为主,"来源：山西省商务厅
					
					发布时间：2023-01-29 09:57:53
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","监测系统数据显示：12月份山西煤炭价格以涨为主。煤炭平均价格为1304.75元/吨，环比上涨1.4%。其中：无烟煤2号洗选块煤平均价格为1615.6元/吨，环比上涨2.6%；动力煤发热量5000-5500大卡平均价格为825.86元/吨，环比上涨2.2%；炼焦煤1/3焦煤平均价格为1472.79元/吨，环比下跌0.4%。
　　一、无烟煤价格先抑后扬
　　12月份无烟煤价格先抑后扬。上旬省内无烟块煤市场供应宽松，煤企销售压力较大，价格普遍下调。下游化肥化工企业对原料煤继续执行按需补库策略，民用煤需求持续转淡，无烟块煤市场缺乏利好支撑。晋城地区大型煤企下调55-75元/吨，部分地方煤企下调50-100元/吨；阳泉地区大型煤企、地方煤企均下调20元/吨左右。下旬省内无烟煤企业销售顺畅，市场延续偏强走势。下游化肥化工行业开工意愿较强，化工企业原料煤拉运需求持续释放，叠加电力、建材、冶金等终端耗煤企业采购积极等因素，晋城、阳泉地区大型煤企及地方煤企块煤价格普遍补涨，幅度在60-370元/吨不等。
　　二、动力煤价格涨跌互现
　　12月份动力煤价格涨跌互现。上旬省内动力煤市场销售情况一般，库存有所积压，部分煤种价格回落；受建材、化工用煤需求支撑，部分产地煤矿块煤销售顺畅，价格零星小幅上调。随着港口煤价持续下滑，产地煤源发运至港口价格倒挂情况加剧，煤矿及贸易商发货意愿有所减弱。省内动力煤市场涨跌互现，晋城地区大型煤企月度长协价上调33元/吨，朔州、忻州、阳泉、长治、晋中等地部分品种直达煤价格下跌5-150元/吨不等。下旬省内动力煤市场延续弱势，煤企出货不畅，价格继续下调。下游工业企业开工受限，日耗持续低位震荡，电企库存居于相对高位，拉运需求偏弱，北方港口库存攀升，动力煤看空情绪继续升温，价格下跌幅度加大。下水煤市场中，大同地区大型煤企月度长协价下调2-3元/吨，朔州地区部分煤企价格下调20元/吨；直达煤市场中，忻州地区部分煤企价格下调5元/吨，晋中地区部分煤企价格下调10元/吨，长治地区大型煤企长协煤价格下调3元/吨。
　　三、炼焦煤价格先扬后抑
　　12月份炼焦煤价格先扬后抑。上旬省内炼焦用精煤市场运行良好，基本面支撑较强，春节前供应端偏紧局面难有缓解，煤矿销售顺畅，库存低位。省内主要煤企主焦煤及配煤品种长协价格上调5-90元/吨不等，吕梁地区个别地方煤企低硫、高硫主焦煤市场价格分别追涨50元/吨，晋中地区部分地方煤企主焦煤及肥煤市场价格上涨90-100元/吨；运城、长治地区部分地方煤企瘦煤、贫瘦煤市场价格上涨30-90元/吨。下旬焦企开工小幅回落，产量有所收缩，下游对炼焦煤需求总体一般，仅部分刚需品种补库略有增多。因年底煤矿生产以保安全为主，个别煤矿安排检修计划或工作面搬家，省内炼焦用精煤市场弱势运行，主要煤企下调焦煤长协价格30-50元/吨不等，吕梁地区高硫、低硫主焦煤市场价格下跌30-50元/吨，临汾地区个别煤企主焦煤市场价格下跌100元/吨。
　　总之，12月份全省大范围的严寒低温天气，已将电厂耗煤推向高位。冬季疫情反弹与防控对煤炭运输环节限制较大，造成有些地区运煤一车难求。临近年关，矿井或检修或停产加大了产地供给压力，打乱了地销煤的采购节奏，给市场增加了不确定性。预计后期煤炭价格或将震荡波动。"
